10
10
4
10;1;0;0;
1;2;0;1;
2;3;1;2;
3;4;2;3;
4;5;3;4;
15;5;4;5;
16;7;6;6;
7;8;6;7;
8;9;7;8;
9;9;8;9;
20;10;10;0;
21;12;11;11;
12;13;11;12;
13;14;12;13;
14;15;13;14;
15;15;14;5;
26;16;16;6;
27;18;17;17;
18;19;17;18;
29;19;18;19;
30;20;20;10;
21;22;21;11;
22;23;21;22;
23;23;22;23;
34;25;24;24;
25;26;24;25;
36;26;25;16;
37;27;27;17;
38;29;28;28;
29;29;28;19;
30;31;30;20;
31;32;30;31;
42;32;31;32;
43;33;33;33;
44;35;34;24;
45;35;34;35;
36;36;36;26;
47;37;37;27;
38;39;38;28;
49;39;38;39;
50;40;40;40;
51;42;41;41;
42;42;41;32;
53;44;43;33;
44;44;43;34;
45;46;45;35;
46;47;45;46;
47;48;46;37;
58;48;47;48;
59;49;49;39;
60;50;50;40;
61;51;51;41;
52;53;52;52;
53;53;52;43;
64;55;54;54;
65;55;54;55;
66;57;56;56;
67;57;56;57;
58;58;58;48;
69;59;59;49;
70;60;60;50;
61;62;61;51;
62;63;61;62;
63;64;62;63;
64;64;63;54;
75;65;65;55;
76;66;66;56;
77;67;67;57;
78;69;68;68;
79;69;68;59;
80;71;70;60;
71;72;70;71;
72;72;71;72;
83;74;73;73;
74;75;73;74;
75;75;74;65;
86;76;76;66;
77;78;77;67;
78;78;77;68;
89;79;79;69;
90;80;80;70;
91;82;81;81;
82;83;81;82;
83;83;82;73;
84;85;84;84;
85;86;84;85;
86;87;85;76;
87;88;86;87;
98;88;87;88;
99;89;89;79;
90;91;90;80;
91;92;90;81;
92;93;91;92;
93;94;92;93;
94;95;93;94;
95;96;94;95;
96;97;95;96;
97;98;96;97;
98;98;97;88;
99;99;99;89;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-10;-1;-10;
-1;-10;-10;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-10;-1;-10;
-1;-1;-10;-10;
-10;-1;-1;-10;
-1;-10;-1;-1;
-1;-10;-10;-1;
-1;-1;-10;-10;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-10;
-1;-1;-10;-1;
-1;-10;-1;-10;
-10;-10;-10;-1;
-1;-10;-10;-1;
-10;-1;-10;-1;
-1;-10;-1;-10;
-1;-10;-10;-10;
-1;-1;-10;-10;
-10;-10;-1;-1;
-1;-1;-10;-1;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-1;-1;-1;
-1;-10;-1;-10;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-10;-1;-10;-10;
-10;-10;-1;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-1;-1;-10;-10;
-1;-10;-1;-10;
-10;-10;-10;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-1;-10;-10;
-1;-10;-1;-1;
-1;-1;-10;-1;
-10;-1;-1;-10;
-10;-10;-1;-10;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-10;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-1;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-1;-1;-1;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-10;-10;-10;-1;
